# source_image: figure_5.png
# curve_id: curve_1
# curve_layout: stacked
# label: HE
# color: black
# columns: 2theta intensity
10.000 0.129
10.008 0.105
10.015 0.136
10.023 0.139
10.030 0.090
10.038 0.101
10.045 0.125
10.053 0.118
10.060 0.123
10.068 0.108
10.075 0.138
10.083 0.136
10.090 0.124
10.098 0.142
10.105 0.131
10.113 0.108
10.120 0.129
10.128 0.106
10.135 0.137
10.143 0.121
10.150 0.119
10.158 0.110
10.165 0.143
10.173 0.119
10.180 0.115
10.188 0.116
10.195 0.131
10.203 0.128
10.210 0.129
10.218 0.129
10.225 0.158
10.233 0.115
10.240 0.113
10.248 0.107
10.255 0.132
10.263 0.141
10.270 0.119
10.278 0.107
10.285 0.107
10.293 0.132
10.300 0.134
10.308 0.130
10.315 0.109
10.323 0.125
10.330 0.123
10.338 0.124
10.345 0.136
10.353 0.124
10.360 0.132
10.368 0.122
10.375 0.125
10.383 0.131
10.390 0.095
10.398 0.115
10.405 0.112
10.413 0.109
10.420 0.115
10.428 0.146
10.435 0.105
10.443 0.136
10.450 0.091
10.458 0.114
10.465 0.122
10.473 0.130
10.480 0.132
10.488 0.133
10.495 0.113
10.503 0.111
10.510 0.134
10.518 0.116
10.525 0.097
10.533 0.100
10.540 0.103
10.548 0.128
10.555 0.121
10.563 0.131
10.570 0.112
10.578 0.122
10.585 0.130
10.593 0.113
10.600 0.127
10.608 0.107
10.615 0.112
10.623 0.112
10.630 0.098
10.638 0.127
10.645 0.110
10.653 0.118
10.660 0.126
10.668 0.126
10.675 0.130
10.683 0.116
10.690 0.111
10.698 0.117
10.705 0.089
10.713 0.093
10.720 0.095
10.728 0.101
10.735 0.125
10.743 0.102
10.750 0.111
10.758 0.140
10.765 0.111
10.773 0.130
10.780 0.101
10.788 0.114
10.795 0.101
10.803 0.111
10.810 0.132
10.818 0.087
10.825 0.124
10.833 0.121
10.840 0.107
10.848 0.092
10.855 0.118
10.863 0.108
10.870 0.121
10.878 0.117
10.885 0.144
10.893 0.112
10.900 0.099
10.908 0.119
10.915 0.120
10.923 0.140
10.930 0.131
10.938 0.122
10.945 0.141
10.953 0.096
10.960 0.105
10.968 0.100
10.975 0.109
10.983 0.092
10.990 0.127
10.998 0.112
11.005 0.090
11.013 0.098
11.020 0.121
11.028 0.130
11.035 0.150
11.043 0.165
11.050 0.122
11.058 0.098
11.065 0.079
11.073 0.120
11.080 0.101
11.088 0.108
11.095 0.105
11.103 0.113
11.110 0.133
11.118 0.118
11.125 0.112
11.133 0.097
11.140 0.086
11.148 0.106
11.155 0.114
11.163 0.145
11.170 0.117
11.178 0.131
11.185 0.106
11.193 0.094
11.200 0.098
11.208 0.102
11.215 0.151
11.223 0.100
11.230 0.128
11.238 0.099
11.245 0.130
11.253 0.121
11.260 0.111
11.268 0.113
11.275 0.103
11.283 0.121
11.290 0.106
11.298 0.093
11.305 0.092
11.313 0.116
11.320 0.141
11.328 0.116
11.335 0.111
11.343 0.118
11.350 0.136
11.358 0.117
11.365 0.106
11.373 0.132
11.380 0.120
11.388 0.139
11.395 0.116
11.403 0.092
11.410 0.089
11.418 0.141
11.425 0.142
11.433 0.110
11.440 0.106
11.448 0.138
11.455 0.094
11.463 0.097
11.470 0.123
11.478 0.106
11.485 0.112
11.493 0.109
11.500 0.118
11.508 0.136
11.515 0.114
11.523 0.123
11.530 0.077
11.538 0.111
11.545 0.097
11.553 0.091
11.560 0.097
11.568 0.106
11.575 0.127
11.583 0.089
11.590 0.112
11.598 0.103
11.605 0.106
11.613 0.129
11.620 0.121
11.628 0.134
11.635 0.109
11.643 0.099
11.650 0.107
11.658 0.115
11.665 0.114
11.673 0.092
11.680 0.113
11.688 0.115
11.695 0.154
11.703 0.143
11.710 0.096
11.718 0.106
11.725 0.086
11.733 0.101
11.740 0.116
11.748 0.131
11.755 0.098
11.763 0.099
11.770 0.074
